Process_ID,Layer,Layer_depth_min,Layer_depth_max,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_bottom_to_reference_line_depth
20,93,460.000000,465.000000,"Surface (depth of zero)",460.000000,465.000000
20,94,465.000000,470.000000,"Surface (depth of zero)",465.000000,470.000000
20,95,470.000000,475.000000,"Surface (depth of zero)",470.000000,475.000000
20,96,475.000000,480.000000,"Surface (depth of zero)",475.000000,480.000000
20,97,480.000000,485.000000,"Surface (depth of zero)",480.000000,485.000000
20,98,485.000000,490.000000,"Surface (depth of zero)",485.000000,490.000000
20,99,490.000000,495.000000,"Surface (depth of zero)",490.000000,495.000000
20,100,495.000000,500.000000,"Surface (depth of zero)",495.000000,500.000000
20,101,500.000000,505.000000,"Surface (depth of zero)",500.000000,505.000000
20,102,505.000000,510.000000,"Surface (depth of zero)",505.000000,510.000000
