Process_ID,Interval,Layer,Sv_mean,Good_samples,Samples_In_Domain
19,35,10,-99.734221,1,1
19,35,11,-105.802700,1,1
19,35,12,-108.867150,1,1
19,35,13,-103.015256,1,1
19,35,14,-58.866883,1,1
19,36,4,-63.893546,1,1
19,36,5,-63.039814,1,1
19,36,6,-72.291685,1,1
19,36,7,-95.564934,1,1
19,36,8,-87.217393,1,1
19,36,9,-98.193884,1,1
19,36,10,-63.057077,1,1
19,36,11,-65.747419,1,1
19,36,12,-105.086433,1,1
19,36,13,-99.938871,1,1
19,36,14,-88.664354,1,1
19,37,4,-61.959015,1,1
19,37,5,-61.713390,1,1
19,37,6,-70.936134,1,1
19,37,7,-88.887688,1,1
19,37,8,-81.888821,1,1
19,37,9,-99.669838,1,1
19,37,10,-106.121149,1,1
19,37,11,-77.066777,1,1
19,37,12,-106.040233,1,1
19,37,13,-100.571554,1,1
19,37,14,-79.686340,1,1
19,38,4,-63.122180,1,1
19,38,5,-62.503422,1,1
19,38,6,-69.681608,1,1
19,38,7,-82.726599,1,1
19,38,8,-82.846128,1,1
19,38,9,-98.030140,1,1
19,38,10,-107.316453,1,1
19,38,11,-104.129553,1,1
19,38,12,-106.542006,1,1
19,38,13,-100.816487,1,1
19,38,14,-90.745049,1,1
19,39,4,-62.087655,1,1
19,39,5,-63.495784,1,1
19,39,6,-71.330483,1,1
19,39,7,-88.285843,1,1
19,39,8,-82.652415,1,1
19,39,9,-95.423799,1,1
19,39,10,-107.188912,1,1
19,39,11,-71.023455,1,1
19,39,12,-106.549486,1,1
19,39,13,-103.186017,1,1
19,39,14,-96.333287,1,1
19,40,4,-64.421744,1,1
19,40,5,-63.808352,1,1
19,40,6,-71.616282,1,1
19,40,7,-76.399144,1,1
19,40,8,-81.278688,1,1
19,40,9,-98.538619,1,1
19,40,10,-102.978948,1,1
19,40,11,-106.411960,1,1
19,40,12,-106.984578,1,1
19,40,13,-101.889076,1,1
19,40,14,-82.080773,1,1
19,41,4,-63.400132,1,1
19,41,5,-62.624663,1,1
19,41,6,-68.585753,1,1
19,41,7,-83.527561,1,1
19,41,8,-79.048594,1,1
19,41,9,-93.662340,1,1
19,41,10,-94.108810,1,1
19,41,11,-105.389349,1,1
19,41,12,-106.188543,1,1
19,41,13,-103.566402,1,1
